direction,entry_time,exit_time,entry_price,exit_price,prob,pnl,pnl_pct,capital
short,2026-03-24 06:15:00+00:00,2026-03-24 06:15:00+00:00,1.01059,1.01429,0.7,-44.6381,-0.5661,7840.25
short,2026-03-24 06:45:00+00:00,2026-03-24 06:45:00+00:00,1.00437,0.99944,0.6625,22.8037,0.2909,7863.05
short,2026-03-24 07:00:00+00:00,2026-03-24 07:00:00+00:00,0.99944,0.99117,0.6467,49.3378,0.6275,7912.39
short,2026-03-24 07:15:00+00:00,2026-03-24 07:15:00+00:00,0.99117,1.00232,0.6973,-104.8338,-1.3249,7807.55
short,2026-03-24 07:30:00+00:00,2026-03-24 07:30:00+00:00,1.00232,0.99431,0.6877,46.7786,0.5991,7854.33
short,2026-03-24 07:45:00+00:00,2026-03-24 07:45:00+00:00,0.99431,1.00754,0.6042,-120.2161,-1.5306,7734.12
short,2026-03-24 08:00:00+00:00,2026-03-24 08:00:00+00:00,1.00754,1.04123,0.6698,-274.0807,-3.5438,7460.04
short,2026-03-24 08:15:00+00:00,2026-03-24 08:15:00+00:00,1.04123,1.02399,0.6585,108.5983,1.4557,7568.63
short,2026-03-24 09:00:00+00:00,2026-03-24 09:00:00+00:00,0.995,0.99108,0.6274,14.6809,0.194,7583.31
short,2026-03-24 09:15:00+00:00,2026-03-24 09:15:00+00:00,0.99108,0.99864,0.697,-73.0125,-0.9628,7510.3
short,2026-03-24 09:45:00+00:00,2026-03-24 09:45:00+00:00,1.022,1.02249,0.6009,-18.6214,-0.2479,7491.68
short,2026-03-24 10:00:00+00:00,2026-03-24 10:00:00+00:00,1.02249,1.01286,0.6926,55.5747,0.7418,7547.26
short,2026-03-24 10:15:00+00:00,2026-03-24 10:15:00+00:00,1.01286,1.0188,0.6075,-59.356,-0.7865,7487.9
short,2026-03-24 10:30:00+00:00,2026-03-24 10:30:00+00:00,1.0188,1.01303,0.6646,27.4321,0.3664,7515.33
short,2026-03-24 10:45:00+00:00,2026-03-24 10:45:00+00:00,1.01303,1.03314,0.6261,-164.22,-2.1851,7351.11
short,2026-03-24 11:15:00+00:00,2026-03-24 11:15:00+00:00,1.02548,1.0291,0.6441,-40.652,-0.553,7310.46
short,2026-03-24 11:30:00+00:00,2026-03-24 11:30:00+00:00,1.0291,1.04361,0.6642,-117.6962,-1.61,7192.76
short,2026-03-24 12:00:00+00:00,2026-03-24 12:00:00+00:00,1.0155,1.01567,0.6417,-15.5896,-0.2167,7177.17
short,2026-03-24 12:45:00+00:00,2026-03-24 12:45:00+00:00,0.99603,1.00088,0.6596,-49.3024,-0.6869,7127.87
