tp_pct,sl_pct,trades,win_rate,total_return,max_dd,profit_factor
3.0,6.0,86,72.093,11.7534,26.6578,1.1324
8.0,8.0,44,54.5455,10.5912,39.7533,1.086
9.0,2.0,83,22.8916,10.0676,22.5897,1.1261
8.0,3.0,71,32.3944,10.0042,30.8026,1.1119
5.0,3.0,85,43.5294,9.2481,28.8632,1.1133
9.0,4.0,56,35.7143,9.0033,30.828,1.0961
9.0,5.0,52,40.3846,8.8667,31.1257,1.0877
8.0,4.0,60,38.3333,8.3035,30.3519,1.0938
3.0,5.0,91,68.1319,7.4957,27.9406,1.1085
7.000000000000001,7.000000000000001,50,54.0,5.1188,37.5135,1.058
3.0,2.0,133,47.3684,5.0644,22.5634,1.1182
3.0,8.0,81,76.5432,4.937,35.5514,1.0821
5.0,5.0,66,54.5455,4.1589,29.3323,1.0694
7.000000000000001,5.0,59,45.7627,2.9901,32.2797,1.0534
5.0,7.000000000000001,58,62.069,2.8505,36.1741,1.0534
5.0,4.0,73,49.3151,2.7403,32.279,1.0643
7.000000000000001,6.0,56,50.0,2.5805,34.3745,1.0461
6.0,2.0,97,29.8969,2.5572,20.7121,1.0804
4.0,5.0,75,60.0,2.2607,30.1895,1.0625
3.0,7.000000000000001,84,73.8095,1.6065,31.2243,1.0622
3.0,3.0,109,55.9633,1.4387,27.5676,1.0793
7.000000000000001,8.0,46,56.5217,0.6628,41.5427,1.0315
4.0,9.0,61,72.1311,0.3551,44.7507,1.041
10.0,1.0,129,12.4031,0.2816,35.6566,1.0969
5.0,6.0,62,58.0645,-0.6823,34.8407,1.0337
4.0,2.0,113,38.9381,-0.689,25.336,1.0691
8.0,6.0,52,46.1538,-0.9852,32.254,1.0237
7.000000000000001,1.0,144,16.6667,-1.3869,29.1302,1.0897
6.0,3.0,80,37.5,-1.4772,30.2552,1.0399
8.0,5.0,55,41.8182,-1.5112,33.9672,1.0226
4.0,6.0,71,63.3803,-2.4904,32.5671,1.0279
3.0,4.0,99,61.6162,-4.4159,36.4734,1.0305
4.0,3.0,93,47.3118,-4.4596,32.7289,1.029
2.0,10.0,98,85.7143,-4.7162,43.2818,1.0327
6.0,4.0,67,43.2836,-6.0764,36.0052,1.0002
5.0,1.0,154,21.4286,-6.5409,30.2721,1.0582
4.0,4.0,82,53.6585,-6.9074,36.0366,1.0037
5.0,8.0,55,63.6364,-6.9582,41.4733,0.9896
6.0,7.000000000000001,52,55.7692,-8.9161,38.265,0.9771
8.0,1.0,141,14.1844,-9.4879,34.6782,1.0232
4.0,1.0,163,25.1534,-10.117,31.5026,1.0351
9.0,1.0,135,12.5926,-11.8061,38.554,1.0001
6.0,8.0,48,58.3333,-11.9535,43.7035,0.9548
4.0,8.0,65,67.6923,-15.4128,41.9369,0.9396
6.0,5.0,62,46.7742,-15.4805,39.9611,0.9327
2.0,3.0,133,63.9098,-16.2937,32.7011,0.9665
4.0,7.000000000000001,68,64.7059,-16.3034,39.0896,0.9355
2.0,2.0,156,55.1282,-16.3882,27.4224,0.9825
6.0,1.0,150,17.3333,-16.5751,34.3917,0.9778
6.0,6.0,57,50.8772,-16.686,38.8475,0.9277
2.0,4.0,122,69.6721,-17.5791,40.4987,0.9442
2.0,5.0,111,73.8739,-17.8626,37.5099,0.9401
3.0,1.0,180,29.4444,-22.0931,34.6225,0.9471
2.0,6.0,105,76.1905,-23.1901,39.2528,0.8985
2.0,7.000000000000001,102,78.4314,-25.4718,38.4754,0.8804
2.0,8.0,100,80.0,-29.4174,40.4497,0.8541
1.0,10.0,150,91.3333,-32.4663,41.9734,0.8205
1.0,3.0,185,77.2973,-33.7494,44.7796,0.8135
1.0,2.0,204,69.6078,-36.3469,45.0041,0.8024
1.0,5.0,164,84.1463,-36.4194,48.9775,0.7792
1.0,4.0,177,80.791,-39.1392,52.6731,0.7525
1.0,8.0,150,88.6667,-39.4728,49.1254,0.7378
2.0,1.0,200,35.0,-40.5857,45.029,0.7919
2.0,9.0,100,80.0,-42.6777,50.5675,0.7605
1.0,7.000000000000001,152,86.8421,-43.0389,52.8064,0.7073
1.0,1.0,229,52.8384,-43.378,47.9075,0.7206
1.0,6.0,159,84.9057,-45.0172,55.4116,0.7006
1.0,9.0,150,88.6667,-49.2026,56.8338,0.6519
